Country name,Year,Rank,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Happiness Change,5-Year Change
Belize,2024,25,6.711,6.989,6.432,1.256,1.54,0.525,1.018,0.072,0.082,2.218,0.7549999999999999,
Benin,2024,121,4.357,4.492,4.222,0.855,0.228,0.357,0.679,0.092,0.238,1.909,-0.019999999999999574,-0.8590000801086397
Bhutan,2018,95,5.082,,,,,,,,,,0.0,
Bolivia,2024,74,5.868,5.977,5.758,1.173,1.356,0.346,0.817,0.067,0.052,2.057,0.08400000000000052,0.1205000572204602
Bosnia and Herzegovina,2024,56,6.136,6.234,6.039,1.405,1.545,0.616,0.749,0.178,0.009,1.635,0.25900000000000034,0.4619000778198199
Botswana,2024,142,3.438,3.576,3.301,1.388,1.146,0.094,0.697,0.018,0.083,0.012,0.05500000000000016,-0.040899955749509775
Brazil,2024,36,6.494,6.593,6.394,1.391,1.519,0.48,0.83,0.089,0.127,2.057,0.22199999999999953,0.11840013885497935
Bulgaria,2024,85,5.554,5.647,5.46,1.573,1.725,0.463,0.708,0.055,0.0,1.029,0.09100000000000019,0.45249996566772044
Burkina Faso,2024,120,4.383,4.506,4.26,0.724,0.828,0.296,0.671,0.142,0.218,1.504,-0.16500000000000004,-0.38570012283325017
Burundi,2020,141,3.775,3.985,3.565,0.0,0.19847044348716492,0.155,0.298,0.172,0.212,2.876,-0.0003000259399401628,0.8700000000000001
Cambodia,2024,124,4.341,4.446,4.237,1.049,1.215,0.481,0.988,0.138,0.078,0.393,0.0,-0.5074001159668002
Cameroon,2024,104,4.887,5.007,4.767,0.944,0.986,0.302,0.662,0.099,0.06,1.834,0.0129999999999999,-0.19789990234375043
Canada,2024,18,6.803,6.888,6.718,1.749,1.647,0.832,0.813,0.168,0.323,1.271,-0.09700000000000042,-0.4291000099182103
Central African Republic,2019,149,3.47589993476868,3.70165848731995,3.25014138221741,0.0410720817744732,0.19847044348716492,0.0,0.292814463376999,0.253513216972351,0.0282647181302309,2.8601975440979,0.3928999347686797,-0.14710006523132035
Chad,2024,119,4.384,4.515,4.253,0.592,0.902,0.242,0.477,0.175,0.111,1.884,-0.08699999999999974,-0.03869992828368929
